capacitity,red,green,blue,label
408.8,0.3198,0.3311,0.3491,WATER
408.8,0.3206,0.3318,0.3476,WATER
409.8,0.3206,0.3318,0.3476,WATER
417.0,0.32,0.3333,0.3467,WATER
416.4,0.32,0.3333,0.3467,WATER
416.6,0.3201,0.3333,0.3466,WATER
416.6,0.3201,0.3333,0.3466,WATER
416.2,0.3194,0.3326,0.348,WATER
416.2,0.3194,0.3326,0.348,WATER
416.4,0.3187,0.3319,0.3494,WATER
416.6,0.3187,0.3319,0.3494,WATER
416.4,0.3187,0.3319,0.3494,WATER
416.2,0.3187,0.3319,0.3494,WATER
416.2,0.3202,0.3311,0.3487,WATER
416.2,0.3202,0.3311,0.3487,WATER
416.4,0.3195,0.3326,0.3479,WATER
416.2,0.3195,0.3326,0.3479,WATER
417.4,0.3196,0.3326,0.3478,WATER
417.0,0.3196,0.3326,0.3478,WATER
417.2,0.3203,0.3333,0.3463,WATER
416.4,0.3203,0.3333,0.3463,WATER
416.0,0.3196,0.3326,0.3477,WATER
414.2,0.3196,0.3326,0.3477,WATER
414.4,0.3189,0.3319,0.3493,WATER
414.2,0.3189,0.3319,0.3493,WATER
414.4,0.3196,0.3304,0.35,WATER
415.4,0.3196,0.3304,0.35,WATER
414.8,0.3195,0.3304,0.3501,WATER
415.2,0.3195,0.3304,0.3501,WATER
415.4,0.3187,0.3297,0.3516,WATER
415.6,0.3187,0.3297,0.3516,WATER
415.8,0.3194,0.3304,0.3502,WATER
416.6,0.3194,0.3304,0.3502,WATER
416.2,0.3194,0.3304,0.3502,WATER
410.6,0.3194,0.3304,0.3502,WATER
410.6,0.3194,0.3304,0.3502,WATER
412.2,0.3194,0.3304,0.3502,WATER
412.0,0.3194,0.3304,0.3502,WATER
411.4,0.3194,0.3304,0.3502,WATER
417.0,0.3194,0.3304,0.3502,WATER
417.0,0.3194,0.3304,0.3502,WATER
414.4,0.3187,0.3297,0.3516,WATER
414.8,0.3187,0.3297,0.3516,WATER
415.8,0.3188,0.3297,0.3515,WATER
415.8,0.3188,0.3297,0.3515,WATER
415.2,0.3203,0.329,0.3508,WATER
415.6,0.3203,0.329,0.3508,WATER
