capacitity,red,green,blue
401.00,0.4117,0.3152,0.2731
400.60,0.4117,0.3152,0.2731
401.00,0.4092,0.3165,0.2743
400.80,0.4092,0.3165,0.2743
400.60,0.4092,0.3165,0.2743
402.20,0.4092,0.3165,0.2743
402.20,0.4117,0.3152,0.2731
402.40,0.4117,0.3152,0.2731
402.40,0.4092,0.3165,0.2743
402.20,0.4092,0.3165,0.2743
401.40,0.4092,0.3165,0.2743
402.40,0.4092,0.3165,0.2743
401.80,0.4092,0.3165,0.2743
401.60,0.4092,0.3165,0.2743
400.80,0.4067,0.3178,0.2754
400.40,0.4067,0.3178,0.2754
399.80,0.4067,0.3178,0.2754
400.20,0.4067,0.3178,0.2754
402.00,0.4067,0.3178,0.2754
402.80,0.4067,0.3178,0.2754
402.80,0.4067,0.3178,0.2754
402.80,0.4067,0.3178,0.2754
403.20,0.4092,0.3165,0.2743
401.40,0.4092,0.3165,0.2743
401.40,0.4092,0.3165,0.2743
401.40,0.4092,0.3165,0.2743
402.00,0.4067,0.3178,0.2754
401.60,0.4067,0.3178,0.2754
401.60,0.4067,0.3178,0.2754
401.00,0.4067,0.3178,0.2754
400.80,0.4067,0.3178,0.2754
400.40,0.4067,0.3178,0.2754
400.40,0.4067,0.3178,0.2754
402.20,0.4067,0.3178,0.2754
403.20,0.4092,0.3165,0.2743
404.00,0.4092,0.3165,0.2743
404.00,0.4092,0.3165,0.2743
406.20,0.4092,0.3165,0.2743
404.60,0.4117,0.3152,0.2731
404.40,0.4117,0.3152,0.2731
404.00,0.4142,0.3138,0.2720
402.20,0.4142,0.3138,0.2720
400.80,0.4142,0.3138,0.2720
401.80,0.4142,0.3138,0.2720
401.40,0.4142,0.3138,0.2720
401.20,0.4142,0.3138,0.2720
402.80,0.4167,0.3125,0.2708
402.00,0.4167,0.3125,0.2708
401.20,0.4167,0.3125,0.2708
399.60,0.4167,0.3125,0.2708
399.60,0.4167,0.3125,0.2708
400.00,0.4167,0.3125,0.2708
399.80,0.4167,0.3125,0.2708
400.00,0.4167,0.3125,0.2708
402.20,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
401.40,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
401.20,0.4167,0.3125,0.2708
401.00,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
401.20,0.4167,0.3125,0.2708
399.80,0.4142,0.3138,0.2720
400.40,0.4142,0.3138,0.2720
400.00,0.4142,0.3138,0.2720
399.00,0.4142,0.3138,0.2720
400.00,0.4117,0.3152,0.2731
400.60,0.4117,0.3152,0.2731
399.60,0.4092,0.3165,0.2743
399.60,0.4092,0.3165,0.2743
400.40,0.4067,0.3178,0.2754
399.80,0.4067,0.3178,0.2754
400.60,0.4067,0.3178,0.2754
401.60,0.4067,0.3178,0.2754
402.20,0.4043,0.3191,0.2766
401.60,0.4043,0.3191,0.2766
401.80,0.4043,0.3191,0.2766
401.20,0.4043,0.3191,0.2766
400.80,0.4067,0.3178,0.2754
399.80,0.4067,0.3178,0.2754
400.20,0.4092,0.3165,0.2743
399.80,0.4092,0.3165,0.2743
400.40,0.4092,0.3165,0.2743
400.80,0.4092,0.3165,0.2743
401.60,0.4092,0.3165,0.2743
401.40,0.4092,0.3165,0.2743
401.40,0.4117,0.3152,0.2731
399.60,0.4117,0.3152,0.2731
399.20,0.4117,0.3152,0.2731
399.60,0.4117,0.3152,0.2731
402.40,0.4117,0.3152,0.2731
401.80,0.4117,0.3152,0.2731
403.40,0.4142,0.3138,0.2720
403.00,0.4142,0.3138,0.2720
402.40,0.4167,0.3125,0.2708
399.00,0.4167,0.3125,0.2708
400.20,0.4167,0.3125,0.2708
400.20,0.4167,0.3125,0.2708
400.80,0.4167,0.3125,0.2708
400.80,0.4167,0.3125,0.2708
401.00,0.4142,0.3138,0.2720
400.80,0.4142,0.3138,0.2720
400.60,0.4135,0.3122,0.2743
400.20,0.4135,0.3122,0.2743
400.20,0.4127,0.3106,0.2767
400.40,0.4127,0.3106,0.2767
400.20,0.4120,0.3089,0.2791
400.20,0.4120,0.3089,0.2791
400.40,0.4113,0.3073,0.2814
400.60,0.4113,0.3073,0.2814
401.20,0.4149,0.3057,0.2794
402.20,0.4149,0.3057,0.2794
402.40,0.4149,0.3057,0.2794
402.60,0.4149,0.3057,0.2794
400.20,0.4131,0.3087,0.2782
400.20,0.4131,0.3087,0.2782
399.60,0.4150,0.3100,0.2750
399.60,0.4150,0.3100,0.2750
399.40,0.4168,0.3114,0.2718
400.20,0.4168,0.3114,0.2718
399.20,0.4168,0.3114,0.2718
399.60,0.4168,0.3114,0.2718
401.80,0.4186,0.3127,0.2687
401.80,0.4186,0.3127,0.2687
403.40,0.4222,0.3111,0.2667
402.80,0.4222,0.3111,0.2667
402.00,0.4222,0.3111,0.2667
399.80,0.4222,0.3111,0.2667
399.80,0.4204,0.3098,0.2699
400.00,0.4204,0.3098,0.2699
401.40,0.4186,0.3084,0.2730
401.00,0.4186,0.3084,0.2730
400.80,0.4174,0.3087,0.2739
400.80,0.4174,0.3087,0.2739
407.20,0.4138,0.3103,0.2759
407.00,0.4138,0.3103,0.2759
407.80,0.4127,0.3106,0.2767
408.20,0.4127,0.3106,0.2767
408.20,0.4135,0.3122,0.2743
400.60,0.4135,0.3122,0.2743
397.60,0.4142,0.3138,0.2720
398.20,0.4142,0.3138,0.2720
398.20,0.4142,0.3138,0.2720
398.80,0.4142,0.3138,0.2720
400.00,0.4167,0.3125,0.2708
403.40,0.4167,0.3125,0.2708
402.00,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
401.20,0.4167,0.3125,0.2708
400.60,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
402.00,0.4167,0.3125,0.2708
402.00,0.4167,0.3125,0.2708
402.00,0.4167,0.3125,0.2708
402.60,0.4167,0.3125,0.2708
401.20,0.4167,0.3125,0.2708
401.60,0.4167,0.3125,0.2708
401.60,0.4167,0.3125,0.2708
402.20,0.4167,0.3125,0.2708
402.40,0.4167,0.3125,0.2708
402.20,0.4167,0.3125,0.2708
402.40,0.4167,0.3125,0.2708
402.60,0.4167,0.3125,0.2708
402.60,0.4167,0.3125,0.2708
401.60,0.4167,0.3125,0.2708
402.20,0.4167,0.3125,0.2708
402.00,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
401.40,0.4167,0.3125,0.2708
401.60,0.4167,0.3125,0.2708
401.20,0.4167,0.3125,0.2708
401.40,0.4167,0.3125,0.2708
401.60,0.4167,0.3125,0.2708
401.60,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
401.80,0.4167,0.3125,0.2708
401.60,0.4167,0.3125,0.2708
