capacitity,red,green,blue
399.80,0.5795,0.1932,0.2274
400.00,0.5795,0.1932,0.2274
399.60,0.5801,0.1949,0.2250
403.00,0.5801,0.1949,0.2250
403.20,0.5808,0.1966,0.2227
403.00,0.5808,0.1966,0.2227
402.80,0.5833,0.1974,0.2193
403.20,0.5833,0.1974,0.2193
398.20,0.5814,0.1983,0.2203
398.20,0.5814,0.1983,0.2203
398.60,0.5790,0.1974,0.2236
398.80,0.5790,0.1974,0.2236
399.00,0.5783,0.1957,0.2260
404.80,0.5783,0.1957,0.2260
404.80,0.5776,0.1940,0.2283
405.00,0.5776,0.1940,0.2283
404.80,0.5758,0.1949,0.2293
404.40,0.5758,0.1949,0.2293
404.20,0.5751,0.1932,0.2317
404.40,0.5751,0.1932,0.2317
404.20,0.5751,0.1932,0.2317
404.40,0.5751,0.1932,0.2317
404.80,0.5751,0.1932,0.2317
404.60,0.5751,0.1932,0.2317
404.00,0.5769,0.1924,0.2307
404.00,0.5769,0.1924,0.2307
403.00,0.5762,0.1907,0.2331
403.00,0.5762,0.1907,0.2331
403.20,0.5780,0.1899,0.2321
403.60,0.5780,0.1899,0.2321
404.20,0.5798,0.1891,0.2311
404.80,0.5798,0.1891,0.2311
404.20,0.5792,0.1916,0.2292
404.00,0.5792,0.1916,0.2292
403.00,0.5774,0.1924,0.2302
402.60,0.5774,0.1924,0.2302
403.60,0.5768,0.1949,0.2283
403.00,0.5768,0.1949,0.2283
403.20,0.5768,0.1949,0.2283
404.20,0.5768,0.1949,0.2283
404.60,0.5768,0.1949,0.2283
402.60,0.5768,0.1949,0.2283
403.60,0.5774,0.1924,0.2302
403.40,0.5774,0.1924,0.2302
403.60,0.5774,0.1924,0.2302
404.80,0.5774,0.1924,0.2302
405.40,0.5798,0.1891,0.2311
405.20,0.5798,0.1891,0.2311
406.80,0.5798,0.1891,0.2311
406.40,0.5798,0.1891,0.2311
404.60,0.5780,0.1899,0.2321
404.00,0.5780,0.1899,0.2321
405.80,0.5798,0.1891,0.2311
404.80,0.5798,0.1891,0.2311
404.60,0.5792,0.1916,0.2292
404.60,0.5792,0.1916,0.2292
406.60,0.5792,0.1916,0.2292
404.60,0.5792,0.1916,0.2292
404.00,0.5792,0.1916,0.2292
404.20,0.5792,0.1916,0.2292
404.60,0.5810,0.1908,0.2282
404.20,0.5810,0.1908,0.2282
404.00,0.5792,0.1916,0.2292
404.80,0.5792,0.1916,0.2292
398.00,0.5798,0.1891,0.2311
398.20,0.5798,0.1891,0.2311
398.20,0.5798,0.1891,0.2311
398.40,0.5798,0.1891,0.2311
397.80,0.5780,0.1899,0.2321
404.60,0.5780,0.1899,0.2321
404.20,0.5762,0.1907,0.2331
404.80,0.5762,0.1907,0.2331
404.20,0.5780,0.1899,0.2321
404.80,0.5780,0.1899,0.2321
404.40,0.5798,0.1891,0.2311
404.40,0.5798,0.1891,0.2311
403.40,0.5798,0.1891,0.2311
404.40,0.5798,0.1891,0.2311
403.80,0.5798,0.1891,0.2311
404.20,0.5798,0.1891,0.2311
404.00,0.5798,0.1891,0.2311
403.00,0.5798,0.1891,0.2311
403.20,0.5780,0.1899,0.2321
403.20,0.5780,0.1899,0.2321
402.60,0.5762,0.1907,0.2331
402.80,0.5762,0.1907,0.2331
403.60,0.5745,0.1915,0.2340
403.00,0.5745,0.1915,0.2340
402.80,0.5745,0.1915,0.2340
404.00,0.5745,0.1915,0.2340
404.60,0.5762,0.1907,0.2331
404.40,0.5762,0.1907,0.2331
