capacitity,red,green,blue
414.80,0.3195,0.3304,0.3501
415.20,0.3195,0.3304,0.3501
415.40,0.3187,0.3297,0.3516
415.60,0.3187,0.3297,0.3516
415.80,0.3194,0.3304,0.3502
416.60,0.3194,0.3304,0.3502
416.20,0.3194,0.3304,0.3502
410.60,0.3194,0.3304,0.3502
410.60,0.3194,0.3304,0.3502
412.20,0.3194,0.3304,0.3502
412.00,0.3194,0.3304,0.3502
411.40,0.3194,0.3304,0.3502
417.00,0.3194,0.3304,0.3502
417.00,0.3194,0.3304,0.3502
414.40,0.3187,0.3297,0.3516
414.80,0.3187,0.3297,0.3516
415.80,0.3188,0.3297,0.3515
415.80,0.3188,0.3297,0.3515
415.20,0.3203,0.3290,0.3508
415.60,0.3203,0.3290,0.3508
415.20,0.3203,0.3290,0.3508
415.20,0.3203,0.3290,0.3508
415.40,0.3217,0.3283,0.3500
416.40,0.3217,0.3283,0.3500
415.40,0.3232,0.3275,0.3492
416.00,0.3232,0.3275,0.3492
415.00,0.3246,0.3268,0.3486
414.60,0.3246,0.3268,0.3486
414.20,0.3246,0.3268,0.3486
415.60,0.3246,0.3268,0.3486
415.40,0.3246,0.3268,0.3486
416.00,0.3246,0.3268,0.3486
416.00,0.3246,0.3268,0.3487
415.60,0.3246,0.3268,0.3487
415.60,0.3245,0.3267,0.3488
415.60,0.3245,0.3267,0.3488
415.40,0.3245,0.3267,0.3488
415.80,0.3245,0.3267,0.3488
415.80,0.3229,0.3274,0.3497
415.60,0.3229,0.3274,0.3497
415.60,0.3244,0.3266,0.3490
416.40,0.3244,0.3266,0.3490
415.80,0.3228,0.3274,0.3498
415.60,0.3228,0.3274,0.3498
415.40,0.3228,0.3274,0.3498
416.40,0.3228,0.3274,0.3498
414.00,0.3221,0.3288,0.3491
414.40,0.3221,0.3288,0.3491
414.80,0.3236,0.3281,0.3483
414.60,0.3236,0.3281,0.3483
413.60,0.3221,0.3288,0.3491
415.60,0.3221,0.3288,0.3491
415.00,0.3229,0.3296,0.3476
415.80,0.3229,0.3296,0.3476
416.40,0.3229,0.3296,0.3476
416.80,0.3229,0.3296,0.3476
416.80,0.3229,0.3296,0.3476
417.80,0.3229,0.3296,0.3476
418.40,0.3214,0.3303,0.3482
418.60,0.3214,0.3303,0.3482
418.00,0.3215,0.3304,0.3481
416.60,0.3215,0.3304,0.3481
416.00,0.3223,0.3289,0.3489
414.60,0.3223,0.3289,0.3489
413.60,0.3208,0.3296,0.3495
413.00,0.3208,0.3296,0.3495
414.00,0.3201,0.3289,0.3510
414.40,0.3201,0.3289,0.3510
414.40,0.3202,0.3289,0.3509
415.00,0.3202,0.3289,0.3509
415.80,0.3202,0.3289,0.3509
416.20,0.3202,0.3289,0.3509
415.80,0.3203,0.3290,0.3508
414.60,0.3203,0.3290,0.3508
415.60,0.3203,0.3290,0.3508
415.80,0.3203,0.3290,0.3508
416.00,0.3203,0.3290,0.3508
416.40,0.3203,0.3290,0.3508
417.80,0.3203,0.3290,0.3508
416.80,0.3203,0.3290,0.3508
416.40,0.3217,0.3283,0.3500
416.00,0.3217,0.3283,0.3500
415.00,0.3203,0.3290,0.3508
415.00,0.3203,0.3290,0.3508
414.80,0.3217,0.3283,0.3500
414.80,0.3217,0.3283,0.3500
414.60,0.3225,0.3290,0.3485
415.20,0.3225,0.3290,0.3485
415.20,0.3239,0.3283,0.3478
415.20,0.3239,0.3283,0.3478
415.40,0.3239,0.3283,0.3478
415.00,0.3239,0.3283,0.3478
415.00,0.3239,0.3283,0.3478
415.00,0.3239,0.3283,0.3478
416.00,0.3232,0.3297,0.3471
416.00,0.3232,0.3297,0.3471
416.60,0.3239,0.3283,0.3478
416.60,0.3239,0.3283,0.3478
416.20,0.3224,0.3290,0.3486
415.20,0.3224,0.3290,0.3486
413.60,0.3209,0.3297,0.3494
411.80,0.3209,0.3297,0.3494
412.40,0.3209,0.3297,0.3494
412.40,0.3209,0.3297,0.3494
412.40,0.3202,0.3290,0.3509
414.40,0.3202,0.3290,0.3509
417.00,0.3194,0.3304,0.3502
411.20,0.3194,0.3304,0.3502
411.80,0.3194,0.3304,0.3502
412.20,0.3194,0.3304,0.3502
410.60,0.3202,0.3311,0.3487
409.00,0.3202,0.3311,0.3487
415.20,0.3202,0.3311,0.3487
413.00,0.3202,0.3311,0.3487
412.20,0.3217,0.3304,0.3479
412.40,0.3217,0.3304,0.3479
412.60,0.3209,0.3297,0.3494
411.20,0.3209,0.3297,0.3494
413.00,0.3209,0.3297,0.3494
413.00,0.3209,0.3297,0.3494
413.40,0.3202,0.3290,0.3509
413.40,0.3202,0.3290,0.3509
410.60,0.3202,0.3290,0.3509
410.40,0.3202,0.3290,0.3509
411.20,0.3187,0.3297,0.3516
409.40,0.3187,0.3297,0.3516
410.20,0.3202,0.3290,0.3509
413.80,0.3202,0.3290,0.3509
413.60,0.3209,0.3297,0.3494
413.40,0.3209,0.3297,0.3494
415.80,0.3209,0.3297,0.3494
416.00,0.3209,0.3297,0.3494
415.60,0.3224,0.3290,0.3487
416.20,0.3224,0.3290,0.3487
417.20,0.3224,0.3290,0.3487
417.80,0.3224,0.3290,0.3487
417.20,0.3224,0.3290,0.3487
417.00,0.3224,0.3290,0.3487
416.40,0.3216,0.3282,0.3501
415.80,0.3216,0.3282,0.3501
416.40,0.3216,0.3282,0.3501
417.00,0.3216,0.3282,0.3501
418.00,0.3202,0.3290,0.3509
418.60,0.3202,0.3290,0.3509
417.00,0.3209,0.3297,0.3494
416.00,0.3209,0.3297,0.3494
420.60,0.3195,0.3304,0.3501
419.60,0.3195,0.3304,0.3501
419.60,0.3209,0.3297,0.3494
420.60,0.3209,0.3297,0.3494
420.00,0.3209,0.3297,0.3494
414.40,0.3209,0.3297,0.3494
415.00,0.3224,0.3290,0.3486
415.00,0.3224,0.3290,0.3486
415.00,0.3216,0.3282,0.3501
415.40,0.3216,0.3282,0.3501
416.20,0.3216,0.3282,0.3501
416.40,0.3216,0.3282,0.3501
416.40,0.3216,0.3282,0.3501
416.40,0.3216,0.3282,0.3501
416.00,0.3224,0.3290,0.3487
418.00,0.3224,0.3290,0.3487
417.80,0.3217,0.3304,0.3479
417.60,0.3217,0.3304,0.3479
417.60,0.3217,0.3304,0.3479
416.80,0.3217,0.3304,0.3479
414.80,0.3217,0.3304,0.3479
414.60,0.3217,0.3304,0.3479
414.20,0.3202,0.3311,0.3487
414.60,0.3202,0.3311,0.3487
415.60,0.3196,0.3304,0.3500
415.60,0.3196,0.3304,0.3500
415.20,0.3203,0.3290,0.3508
415.40,0.3203,0.3290,0.3508
414.80,0.3210,0.3297,0.3493
416.00,0.3210,0.3297,0.3493
416.20,0.3225,0.3290,0.3485
