capacitity,red,green,blue
395.00,0.6105,0.1243,0.2652
395.40,0.6105,0.1243,0.2652
395.20,0.6105,0.1243,0.2652
399.80,0.6132,0.1243,0.2624
400.00,0.6132,0.1243,0.2624
400.20,0.6143,0.1240,0.2617
399.20,0.6143,0.1240,0.2617
399.20,0.6154,0.1236,0.2610
399.60,0.6154,0.1236,0.2610
399.80,0.6160,0.1243,0.2596
400.40,0.6160,0.1243,0.2596
401.40,0.6206,0.1247,0.2548
402.00,0.6206,0.1247,0.2548
402.00,0.6195,0.1278,0.2527
402.20,0.6195,0.1278,0.2527
401.40,0.6168,0.1305,0.2527
401.20,0.6168,0.1305,0.2527
401.20,0.6135,0.1325,0.2540
400.60,0.6135,0.1325,0.2540
400.60,0.6101,0.1346,0.2553
401.20,0.6101,0.1346,0.2553
401.20,0.6055,0.1370,0.2574
400.20,0.6055,0.1370,0.2574
400.40,0.6028,0.1370,0.2602
399.80,0.6028,0.1370,0.2602
399.20,0.6028,0.1370,0.2602
400.40,0.6028,0.1370,0.2602
401.60,0.6033,0.1377,0.2589
401.40,0.6033,0.1377,0.2589
401.60,0.6050,0.1381,0.2569
400.00,0.6050,0.1381,0.2569
399.40,0.6044,0.1374,0.2582
399.00,0.6044,0.1374,0.2582
398.80,0.6082,0.1370,0.2548
400.00,0.6082,0.1370,0.2548
401.60,0.6093,0.1366,0.2541
401.00,0.6093,0.1366,0.2541
401.20,0.6093,0.1366,0.2541
400.80,0.6093,0.1366,0.2541
401.80,0.6076,0.1362,0.2561
401.80,0.6076,0.1362,0.2561
402.40,0.6066,0.1366,0.2568
403.40,0.6066,0.1366,0.2568
404.60,0.6038,0.1366,0.2596
402.80,0.6038,0.1366,0.2596
402.40,0.6027,0.1370,0.2603
402.80,0.6027,0.1370,0.2603
401.80,0.6027,0.1370,0.2603
401.60,0.6027,0.1370,0.2603
402.40,0.6038,0.1366,0.2596
402.60,0.6038,0.1366,0.2596
401.60,0.6049,0.1362,0.2589
401.40,0.6049,0.1362,0.2589
401.20,0.6060,0.1359,0.2582
